kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 524 : 65792 734176 0 0 0 0 0 0 0 
_1.ptx 525 : 65792 1818112 0 14566 2056 0 0 0 0 
_1.ptx 527 : 65792 1514368 0 4112 2056 0 0 0 0 
_1.ptx 528 : 65792 473472 0 0 0 0 0 0 0 
_1.ptx 529 : 65792 708832 0 0 0 0 0 0 0 
_1.ptx 530 : 65792 733568 0 0 0 0 0 0 0 
_1.ptx 531 : 65792 1974144 0 16023 2056 0 0 0 0 
_1.ptx 533 : 65792 1627520 0 4112 2056 0 0 0 0 
_1.ptx 534 : 65792 472256 0 0 0 0 0 0 0 
_1.ptx 535 : 65792 685024 0 0 0 0 0 0 0 
_1.ptx 536 : 65792 728608 0 0 0 0 0 0 0 
_1.ptx 537 : 65792 2697568 0 23914 2056 0 0 0 0 
_1.ptx 539 : 65792 669792 0 0 0 0 0 0 0 
_1.ptx 540 : 65792 480480 0 0 0 0 0 0 0 
_1.ptx 541 : 65792 413312 0 0 0 0 0 0 0 
_1.ptx 542 : 65792 480800 0 0 0 0 0 0 0 
_1.ptx 543 : 65792 409600 0 0 0 0 0 0 0 
_1.ptx 544 : 65792 478816 0 0 0 0 0 0 0 
_1.ptx 545 : 65792 407040 0 0 0 0 0 0 0 
_1.ptx 546 : 65792 476000 0 0 0 0 0 0 0 
_1.ptx 547 : 65792 1130240 0 0 0 0 0 0 0 
_1.ptx 548 : 65792 490304 0 0 0 0 0 0 0 
_1.ptx 550 : 65792 553920 0 0 0 0 0 0 0 
_1.ptx 551 : 65792 542944 0 0 0 0 0 0 0 
_1.ptx 552 : 65792 544416 0 0 0 0 0 0 0 
_1.ptx 553 : 65792 544928 0 0 0 0 0 0 0 
_1.ptx 554 : 65792 858432 0 4112 2056 0 0 0 0 
_1.ptx 556 : 65792 423616 0 0 0 0 0 0 0 
_1.ptx 558 : 65792 702528 0 0 0 0 0 0 0 
_1.ptx 559 : 65792 530784 0 0 0 0 0 0 0 
_1.ptx 560 : 65792 473664 0 0 0 0 0 0 0 
_1.ptx 561 : 65792 524096 0 0 0 0 0 0 0 
_1.ptx 562 : 65792 469824 0 0 0 0 0 0 0 
_1.ptx 563 : 65792 518464 0 0 0 0 0 0 0 
_1.ptx 564 : 65792 462528 0 0 0 0 0 0 0 
_1.ptx 565 : 65792 517472 0 0 0 0 0 0 0 
_1.ptx 566 : 65792 1070944 0 0 0 0 0 0 0 
